Country,Original_id,Authors,Voting,Date
POLAND,2216,['United Kingdom'],Y,2018-03-27
ALBANIA,2435,['United States'],Y,2022-05-26
UNITED KINGDOM,2315,['United States'],Y,2020-02-11
ETHIOPIA,2208,['United States'],Y,2018-02-08
INDONESIA,2261,['France'],Y,2019-01-31
EQUATORIAL GUINEA,2253,['United States'],Y,2018-11-15
INDIA,2428,['United Kingdom'],Y,2022-02-28
UNITED KINGDOM,2142,"['Malaysia', 'New Zealand', 'Senegal', 'Venezuela (Bolivarian Republic of)']",Y,2016-12-23
CÔTE D'IVOIRE,2213,['United States'],Y,2018-03-15
MOZAMBIQUE,2488,"['United Arab Emirates', 'United Kingdom']",Y,2023-06-14
GABON,2496,['United Kingdom'],Y,2023-08-02
UNITED KINGDOM,2329,['United States'],Y,2020-05-29
GABON,2441,['Gabon'],Y,2022-06-22
VENEZUELA (BOLIVARIAN REPUBLIC OF),2135,['United States'],Y,2016-12-15
KAZAKHSTAN,2223,['United Kingdom'],Y,2018-05-15
RUSSIAN FEDERATION,2523,"['Japan', 'United States']",A,2024-01-10
RUSSIAN FEDERATION,2420,"['Albania', 'Antigua and Barbuda', 'Australia', 'Austria', 'Belgium', 'Belize', 'Bosnia and Herzegovina', 'Botswana', 'Bulgaria', 'Canada', 'Colombia', 'Costa Rica', ""Côte d'Ivoire"", 'Croatia', 'Cyprus', 'Czechia', 'Denmark', 'Dominican Republic', 'Ecuador', 'Estonia', 'Fiji', 'Finland', 'France', 'Gabon', 'Georgia', 'Germany', 'Ghana', 'Greece', 'Guatemala', 'Guinea', 'Guyana', 'Honduras', 'Hungary', 'Iceland', 'Ireland', 'Italy', 'Japan', 'Kenya', 'Latvia', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Marshall Islands', 'Mexico', 'Morocco', 'Netherlands', 'New Zealand', 'Niger', 'Nigeria', 'Norway', 'Palau', 'Panama', 'Paraguay', 'Peru', 'Poland', 'Portugal', 'Republic of Moldova', 'Romania', 'Saint Kitts and Nevis', 'Saint Vincent and the Grenadines', 'San Marino', 'Sierra Leone', 'Slovakia', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Timor-Leste', 'Tunisia', 'United Kingdom', 'United States', 'Uruguay', 'Vanuatu']",A,2021-12-22
UNITED KINGDOM,2236,['United Kingdom'],Y,2018-07-13
UNITED KINGDOM,2163,['United States'],Y,2017-05-24
BELGIUM,2327,['United Kingdom'],Y,2020-05-29
